code_stock,code_industry,pe_stock,pb_stock,pe_industry,pb_industry,date_time
300180,C29,136.41,2.77,29.08,2.63,2020-05-29
300182,R86,--,1.47,46.73,2.1,2020-05-29
300197,N77,--,0.96,23.45,1.74,2020-05-29
300199,C27,--,2.36,43.1,4.17,2020-05-29
300207,C38,43.38,3.89,25.9,3.02,2020-05-29
300244,Q83,55.13,3.89,98.33,10.32,2020-05-29
300251,R86,38.6,3.82,46.73,2.1,2020-05-29
300253,I65,108.47,10.1,61.63,4.92,2020-05-29
300257,C34,60.31,2.51,28.85,1.96,2020-05-29
300274,C38,18.61,1.88,25.9,3.02,2020-05-29
300285,C26,45.68,6.01,23.35,2.06,2020-05-29
300296,C39,38.35,1.72,41.54,3.93,2020-05-29
300297,I65,--,1.17,61.63,4.92,2020-05-29
300308,C39,71.6,5.73,41.54,3.93,2020-05-29
300315,I64,62.18,3.02,34.64,4.24,2020-05-29
300316,C35,42.6,5.86,38.13,3.78,2020-05-29
300324,I65,81.85,2.08,61.63,4.92,2020-05-29
300376,C38,28.33,2.04,25.9,3.02,2020-05-29
300383,I65,45.18,4.48,61.63,4.92,2020-05-29
300418,I64,17.91,4.68,34.64,4.24,2020-05-29
300459,I64,--,2.11,34.64,4.24,2020-05-29
300529,C35,80.31,21.54,38.13,3.78,2020-05-29
2003,C18,13.34,1.61,16.64,1.58,2020-05-29
2005,C38,10.82,1.17,25.9,3.02,2020-05-29
2006,C35,--,2.38,38.13,3.78,2020-05-29
2009,C34,96.57,1.38,28.85,1.96,2020-05-29
2011,C34,56.46,1.49,28.85,1.96,2020-05-29
2012,C22,48.43,2.07,17.95,1.58,2020-05-29
2014,C29,16.4,2.56,29.08,2.63,2020-05-29
2015,D44,14.11,1.54,17.02,1.24,2020-05-29
2016,K70,6.36,1.56,8.07,1.15,2020-05-29
2017,C39,143.48,3.7,41.54,3.93,2020-05-29
2020,C27,15.91,2.07,43.1,4.17,2020-05-29
2021,C35,222.93,1.92,38.13,3.78,2020-05-29
2022,C27,38.98,3.28,43.1,4.17,2020-05-29
2023,C37,--,3.27,30.04,1.79,2020-05-29
2025,C39,30.05,3.84,41.54,3.93,2020-05-29
2026,C33,--,0.88,27.58,2.1,2020-05-29
2029,C18,17.37,0.62,16.64,1.58,2020-05-29
2031,C35,201.1,1.34,38.13,3.78,2020-05-29
2033,N78,21.99,1.27,44.28,2.45,2020-05-29
2034,N77,17.08,1.77,23.45,1.74,2020-05-29
2035,C38,14.96,3.29,25.9,3.02,2020-05-29
2036,C39,39.95,4.22,41.54,3.93,2020-05-29
2037,C26,47.22,0.92,23.35,2.06,2020-05-29
2039,D44,13.76,1.6,17.02,1.24,2020-05-29
2040,G55,23.8,1.12,13.23,1.1,2020-05-29
2041,A01,156.47,3.84,43.97,3.1,2020-05-29
2042,C17,42.52,1.37,20.5,1.54,2020-05-29
2043,C20,28.2,4.77,26.36,1.78,2020-05-29
2045,C39,11.74,2.19,41.54,3.93,2020-05-29
2046,C34,--,2.37,28.85,1.96,2020-05-29
2047,E50,46.19,1.59,21.62,1.65,2020-05-29
2052,C39,--,2.48,41.54,3.93,2020-05-29
2053,C14,21.52,1.28,45.97,6.56,2020-05-29
2054,C26,24.15,1.47,23.35,2.06,2020-05-29
2055,C39,--,3.36,41.54,3.93,2020-05-29
2057,C26,44.92,3.28,23.35,2.06,2020-05-29
2058,C40,--,15.28,28.74,2.76,2020-05-29
2059,N78,148.56,2.02,44.28,2.45,2020-05-29
2060,E48,14.73,1.07,7.31,0.73,2020-05-29
2061,E48,10.64,0.94,7.31,0.73,2020-05-29
2062,E48,14.22,1.51,7.31,0.73,2020-05-29
2063,I65,43.81,4,61.63,4.92,2020-05-29
2066,C30,231.03,4.68,15.28,2.23,2020-05-29
2067,C22,21.02,0.75,17.95,1.58,2020-05-29
2068,C26,--,1,23.35,2.06,2020-05-29
2069,A04,--,262.21,--,1.51,2020-05-29
2071,R86,--,--,46.73,2.1,2020-05-29
2072,I64,62.31,35.25,34.64,4.24,2020-05-29
2073,C35,166.42,0.88,38.13,3.78,2020-05-29
2076,C38,--,--,25.9,3.02,2020-05-29
2077,K70,--,1.02,8.07,1.15,2020-05-29
2079,C39,78.85,4.19,41.54,3.93,2020-05-29
2080,C30,14.1,1.67,15.28,2.23,2020-05-29
2082,C32,23.17,2.27,32.73,1.88,2020-05-29
2083,C17,12.8,1.15,20.5,1.54,2020-05-29
2084,C33,41.96,2.78,27.58,2.1,2020-05-29
2086,A04,--,0.69,--,1.51,2020-05-29
2087,C17,10.69,0.68,20.5,1.54,2020-05-29
2088,C30,10.36,1.42,15.28,2.23,2020-05-29
2089,C39,22.78,2.11,41.54,3.93,2020-05-29
2090,C38,46.14,2.67,25.9,3.02,2020-05-29
2091,F51,10.12,1.04,15.86,1.37,2020-05-29
2094,C26,--,0.96,23.35,2.06,2020-05-29
2095,I64,151.35,5.27,34.64,4.24,2020-05-29
2096,C26,146.69,1.1,23.35,2.06,2020-05-29
2097,C35,14.08,1.31,38.13,3.78,2020-05-29
2098,C41,37.65,3.22,34.4,2.18,2020-05-29
2099,C27,16.23,2.04,43.1,4.17,2020-05-29
2100,C13,16.55,3.18,25.36,4.13,2020-05-29
2101,C36,--,0.84,20.65,1.51,2020-05-29
2102,C27,7.7,1.45,43.1,4.17,2020-05-29
2103,L72,--,3.15,33.68,2.7,2020-05-29
2104,C39,112.2,2.92,41.54,3.93,2020-05-29
2105,C37,43.04,3.39,30.04,1.79,2020-05-29
2106,C39,23.3,1.93,41.54,3.93,2020-05-29
2107,C27,40.46,7.14,43.1,4.17,2020-05-29
2108,C29,29.83,1.5,29.08,2.63,2020-05-29
2109,C26,31.45,0.83,23.35,2.06,2020-05-29
2111,C35,16.47,1.81,38.13,3.78,2020-05-29
2112,C38,128.83,3.46,25.9,3.02,2020-05-29
2113,I64,--,11.08,34.64,4.24,2020-05-29
2114,C32,--,1.37,32.73,1.88,2020-05-29
2115,C39,70.56,2.56,41.54,3.93,2020-05-29
2116,M74,81.08,2.07,35.91,3.28,2020-05-29
2117,C23,24.45,3.4,26.56,2.64,2020-05-29
2119,C39,64.66,5.56,41.54,3.93,2020-05-29
2121,C40,--,3.28,28.74,2.76,2020-05-29
2122,C34,--,0.94,28.85,1.96,2020-05-29
2123,I65,--,2.87,61.63,4.92,2020-05-29
2124,C13,13.16,3.57,25.36,4.13,2020-05-29
2125,C26,88.79,4.06,23.35,2.06,2020-05-29
2126,C36,28.97,2.29,20.65,1.51,2020-05-29
2130,C39,26.02,1.98,41.54,3.93,2020-05-29
2132,C33,44.47,1.23,27.58,2.1,2020-05-29
2133,K70,9.55,0.7,8.07,1.15,2020-05-29
2134,C39,187.28,6.2,41.54,3.93,2020-05-29
2135,E48,27.13,1.75,7.31,0.73,2020-05-29
2136,C26,37.49,2.53,23.35,2.06,2020-05-29
2137,C39,79.89,2.98,41.54,3.93,2020-05-29
2138,C39,46.53,4.25,41.54,3.93,2020-05-29
2139,C38,15.89,2.12,25.9,3.02,2020-05-29
2140,E48,20.41,1.59,7.31,0.73,2020-05-29
2141,C38,597.23,2.45,25.9,3.02,2020-05-29
2144,C17,21.04,0.93,20.5,1.54,2020-05-29
2145,C26,14.57,2.05,23.35,2.06,2020-05-29
2147,K70,--,1.02,8.07,1.15,2020-05-29
2148,I65,--,2.42,61.63,4.92,2020-05-29
2149,C32,65.21,1.68,32.73,1.88,2020-05-29
2150,C33,14.05,1.62,27.58,2.1,2020-05-29
2151,C39,--,5.11,41.54,3.93,2020-05-29
2154,C18,18.86,1.2,16.64,1.58,2020-05-29
2156,C39,446.14,4.44,41.54,3.93,2020-05-29
2157,C13,13.07,3.76,25.36,4.13,2020-05-29
2158,C34,23.91,2.87,28.85,1.96,2020-05-29
2159,N78,--,1.5,44.28,2.45,2020-05-29
2160,C32,118.35,1.12,32.73,1.88,2020-05-29
2161,C39,9.41,2.83,41.54,3.93,2020-05-29
2162,C30,98.63,2.71,15.28,2.23,2020-05-29
2163,E50,74.83,10.23,21.62,1.65,2020-05-29
2164,C35,--,3.69,38.13,3.78,2020-05-29
2165,C26,27.83,1.63,23.35,2.06,2020-05-29
2166,C27,37.91,2.37,43.1,4.17,2020-05-29
2167,C32,--,4.38,32.73,1.88,2020-05-29
2168,C38,41.31,3.05,25.9,3.02,2020-05-29
2169,C38,91.06,2.68,25.9,3.02,2020-05-29
2170,C26,74.06,1.75,23.35,2.06,2020-05-29
2171,C32,39.21,2.17,32.73,1.88,2020-05-29
2172,C28,--,1.52,13.75,2.1,2020-05-29
2173,Q83,--,1,98.33,10.32,2020-05-29
2175,I64,7.21,7.28,34.64,4.24,2020-05-29
2177,C35,--,2.01,38.13,3.78,2020-05-29
2178,M74,77.73,3.55,35.91,3.28,2020-05-29
2181,L72,79.84,1.36,33.68,2.7,2020-05-29
2182,C32,6.17,2.05,32.73,1.88,2020-05-29
2184,C38,52.94,3.23,25.9,3.02,2020-05-29
2185,C39,106.38,4.56,41.54,3.93,2020-05-29
2186,H62,--,2.44,--,--,2020-05-29
2187,F52,131.16,1.05,21.46,1.78,2020-05-29
2188,L72,2.16,123.37,33.68,2.7,2020-05-29
2189,C39,95.85,3.59,41.54,3.93,2020-05-29
2190,C35,10.92,2.81,38.13,3.78,2020-05-29
2192,C39,--,7.62,41.54,3.93,2020-05-29
2193,C17,38.4,0.66,20.5,1.54,2020-05-29
2194,C39,49.71,6.84,41.54,3.93,2020-05-29
2196,C35,--,1.1,38.13,3.78,2020-05-29
2197,C34,236.07,1.87,28.85,1.96,2020-05-29
2198,C27,--,3.14,43.1,4.17,2020-05-29
2199,C39,104.39,5.07,41.54,3.93,2020-05-29
2200,A02,--,6.81,--,--,2020-05-29
2201,C30,161.92,4.66,15.28,2.23,2020-05-29
2204,C35,180.82,1.39,38.13,3.78,2020-05-29
2205,C30,--,1.87,15.28,2.23,2020-05-29
2206,C28,13.84,1.39,13.75,2.1,2020-05-29
2207,B11,28.08,19.05,28.95,1.49,2020-05-29
2208,K70,9.08,1.39,8.07,1.15,2020-05-29
2209,C35,--,1.91,38.13,3.78,2020-05-29
2210,L72,--,15.74,33.68,2.7,2020-05-29
2211,C26,--,3.26,23.35,2.06,2020-05-29
2213,C36,744.36,9.63,20.65,1.51,2020-05-29
2214,C39,39.17,7.71,41.54,3.93,2020-05-29
2215,C26,24.94,2.32,23.35,2.06,2020-05-29
2216,C14,44.04,7.75,45.97,6.56,2020-05-29
2218,C38,30.33,1.41,25.9,3.02,2020-05-29
2219,C27,--,12.53,43.1,4.17,2020-05-29
2220,C13,--,1.01,25.36,4.13,2020-05-29
2222,C39,41.94,5.45,41.54,3.93,2020-05-29
2224,C29,35.34,1.8,29.08,2.63,2020-05-29
2225,C30,17.28,1.57,15.28,2.23,2020-05-29
2226,C26,17.01,1.02,23.35,2.06,2020-05-29
2227,C38,407.92,3.63,25.9,3.02,2020-05-29
2228,C22,19.99,1.53,17.95,1.58,2020-05-29
2229,C23,129.93,2.16,26.56,2.64,2020-05-29
2231,C39,47.69,3.95,41.54,3.93,2020-05-29
2232,I65,41.71,3.13,61.63,4.92,2020-05-29
2234,A03,4.77,2.27,13.57,4.67,2020-05-29
2235,I64,--,2.28,34.64,4.24,2020-05-29
2237,C32,43.68,2.63,32.73,1.88,2020-05-29
2238,I63,35.8,2.28,41.83,1.42,2020-05-29
2239,C36,122.46,1.79,20.65,1.51,2020-05-29
2240,C20,237.41,2.1,26.36,1.78,2020-05-29
2243,C29,31.33,3.06,29.08,2.63,2020-05-29
2245,G58,42.3,1.77,16.89,1.56,2020-05-29
2246,C26,31.23,1.65,23.35,2.06,2020-05-29
2247,I64,--,2.81,34.64,4.24,2020-05-29
2248,C34,75.62,20.18,28.85,1.96,2020-05-29
2251,F52,110.58,1.26,21.46,1.78,2020-05-29
2253,I65,59.3,2.15,61.63,4.92,2020-05-29
2254,C28,34.3,3.26,13.75,2.1,2020-05-29
2255,C34,--,1.18,28.85,1.96,2020-05-29
2256,C26,--,1.09,23.35,2.06,2020-05-29
2258,C26,27.21,2.55,23.35,2.06,2020-05-29
2259,D45,--,7.79,21.41,1.66,2020-05-29
2260,--,--,--,--,--,2020-05-29
2261,I65,259.77,3.6,61.63,4.92,2020-05-29
2262,C27,20.75,3.72,43.1,4.17,2020-05-29
2263,C29,57.93,1.86,29.08,2.63,2020-05-29
2264,F52,--,3.84,21.46,1.78,2020-05-29
2265,C36,--,2.57,20.65,1.51,2020-05-29
2267,D45,16.18,1.1,21.41,1.66,2020-05-29
2269,C18,--,2.76,16.64,1.58,2020-05-29
2270,C38,13.75,1.55,25.9,3.02,2020-05-29
2272,C34,151.15,1.35,28.85,1.96,2020-05-29
2274,C26,29.74,1.63,23.35,2.06,2020-05-29
2275,C27,20.84,2.75,43.1,4.17,2020-05-29
2276,C38,50.4,1.87,25.9,3.02,2020-05-29
2277,F52,32.27,0.89,21.46,1.78,2020-05-29
2278,C35,56,1.64,38.13,3.78,2020-05-29
2279,I65,117.91,5.23,61.63,4.92,2020-05-29
2282,C34,39.23,1.4,28.85,1.96,2020-05-29
2283,C36,14,1.05,20.65,1.51,2020-05-29
2284,C36,--,1.35,20.65,1.51,2020-05-29
2286,C13,66.37,1.63,25.36,4.13,2020-05-29
2287,C27,30.39,4.34,43.1,4.17,2020-05-29
2288,C39,--,2.66,41.54,3.93,2020-05-29
2289,C39,101.24,8.89,41.54,3.93,2020-05-29
2290,C38,--,3.14,25.9,3.02,2020-05-29
2291,C18,224.98,5.42,16.64,1.58,2020-05-29
2292,C24,413.04,2.23,39.19,4.53,2020-05-29
2293,C17,16.51,1.86,20.5,1.54,2020-05-29
2295,C32,64.88,1.46,32.73,1.88,2020-05-29
2296,C39,35.51,1.72,41.54,3.93,2020-05-29
2297,C30,--,2.62,15.28,2.23,2020-05-29
2298,I65,18.74,1.26,61.63,4.92,2020-05-29
2299,A03,7.8,3.43,13.57,4.67,2020-05-29
2300,C38,22.08,2.56,25.9,3.02,2020-05-29
2301,C24,46.13,3.33,39.19,4.53,2020-05-29
2303,C22,13.78,1.32,17.95,1.58,2020-05-29
2305,K70,--,0.84,8.07,1.15,2020-05-29
2306,H62,--,273.58,--,--,2020-05-29
2307,E48,117.27,3.21,7.31,0.73,2020-05-29
2308,C39,--,2.36,41.54,3.93,2020-05-29
2309,C38,--,0.58,25.9,3.02,2020-05-29
2310,E48,375.05,1.05,7.31,0.73,2020-05-29
2312,C26,50.03,2.03,23.35,2.06,2020-05-29
2313,C39,108.08,2.72,41.54,3.93,2020-05-29
2314,K70,16.95,0.91,8.07,1.15,2020-05-29
2315,I64,62.44,2,34.64,4.24,2020-05-29
2316,I65,--,3.3,61.63,4.92,2020-05-29
2318,C33,11.62,1.69,27.58,2.1,2020-05-29
2319,C26,--,7.69,23.35,2.06,2020-05-29
2320,G55,112.32,5.26,13.23,1.1,2020-05-29
2321,A03,--,0.96,13.57,4.67,2020-05-29
2322,I65,14.02,1.42,61.63,4.92,2020-05-29
2323,E50,--,27.44,21.62,1.65,2020-05-29
2324,C29,53.23,4.19,29.08,2.63,2020-05-29
2325,E50,--,1.24,21.62,1.65,2020-05-29
2326,C26,44.78,3.01,23.35,2.06,2020-05-29
2327,C17,12.86,1.77,20.5,1.54,2020-05-29
2328,C36,39.08,1.56,20.65,1.51,2020-05-29
2329,C14,--,2.35,45.97,6.56,2020-05-29
2330,C13,256.98,2.5,25.36,4.13,2020-05-29
2331,I65,27.97,1.94,61.63,4.92,2020-05-29
2332,C27,33.14,4.62,43.1,4.17,2020-05-29
2333,C32,--,1.79,32.73,1.88,2020-05-29
2334,C38,--,2.08,25.9,3.02,2020-05-29
2335,C38,27.33,1.72,25.9,3.02,2020-05-29
2336,F52,83.9,1.58,21.46,1.78,2020-05-29
2337,C35,76.46,1.59,38.13,3.78,2020-05-29
2338,C40,100.58,5.86,28.74,2.76,2020-05-29
2339,C38,75.7,1.79,25.9,3.02,2020-05-29
2341,C26,--,1.21,23.35,2.06,2020-05-29
2342,C33,171.06,1.13,27.58,2.1,2020-05-29
2343,R86,26.35,2.32,46.73,2.1,2020-05-29
2344,L72,20.4,0.66,33.68,2.7,2020-05-29
2345,C41,--,0.93,34.4,2.18,2020-05-29
2346,C38,--,2.18,25.9,3.02,2020-05-29
2347,C34,110.83,1.61,28.85,1.96,2020-05-29
2348,C24,--,1.89,39.19,4.53,2020-05-29
2349,C27,--,2.13,43.1,4.17,2020-05-29
2350,C38,93.26,1.58,25.9,3.02,2020-05-29
2351,C39,116.69,8.77,41.54,3.93,2020-05-29
2354,I64,--,3.75,34.64,4.24,2020-05-29
2355,C36,--,1.23,20.65,1.51,2020-05-29
2356,F52,--,--,21.46,1.78,2020-05-29
2357,G54,24.13,1.42,16.04,1.04,2020-05-29
2359,I63,--,0.58,41.83,1.42,2020-05-29
2360,C26,12.9,1.65,23.35,2.06,2020-05-29
2361,C26,34.34,2.23,23.35,2.06,2020-05-29
2362,C39,84.34,4.07,41.54,3.93,2020-05-29
2363,C36,42.86,1.1,20.65,1.51,2020-05-29
2364,C38,168.69,3.27,25.9,3.02,2020-05-29
2365,C27,32.18,1.72,43.1,4.17,2020-05-29
2367,C34,33.8,2.63,28.85,1.96,2020-05-29
2369,C39,242.05,2.68,41.54,3.93,2020-05-29
2370,C27,--,4.17,43.1,4.17,2020-05-29
2374,E48,--,0.88,7.31,0.73,2020-05-29
2376,C39,25.02,1.87,41.54,3.93,2020-05-29
2377,K70,14.57,0.62,8.07,1.15,2020-05-29
2378,C32,--,2.54,32.73,1.88,2020-05-29
2379,C32,10.15,1.72,32.73,1.88,2020-05-29
2380,I65,25.11,1.43,61.63,4.92,2020-05-29
2381,C29,13.88,1.89,29.08,2.63,2020-05-29
2383,C39,--,2.59,41.54,3.93,2020-05-29
2386,C26,276.76,0.79,23.35,2.06,2020-05-29
2388,C39,64.47,2.85,41.54,3.93,2020-05-29
2389,C39,51.93,1.86,41.54,3.93,2020-05-29
2391,C26,16.37,1.37,23.35,2.06,2020-05-29
2392,C30,10.61,1.18,15.28,2.23,2020-05-29
2393,C27,24.68,0.99,43.1,4.17,2020-05-29
2394,C17,6.94,0.85,20.5,1.54,2020-05-29
2395,C29,151.22,5.34,29.08,2.63,2020-05-29
2396,C39,33.47,4.53,41.54,3.93,2020-05-29
2397,C17,102.74,3.09,20.5,1.54,2020-05-29
2398,M74,23.56,3,35.91,3.28,2020-05-29
2400,L72,133.83,2.97,33.68,2.7,2020-05-29
2401,I65,30.14,4.45,61.63,4.92,2020-05-29
2402,C39,40.94,4.99,41.54,3.93,2020-05-29
2403,C33,58.05,1.27,27.58,2.1,2020-05-29
2404,C18,23.82,1.94,16.64,1.58,2020-05-29
2405,I65,129.36,3.76,61.63,4.92,2020-05-29
2406,C36,13.64,1.19,20.65,1.51,2020-05-29
2409,C26,60.14,4.89,23.35,2.06,2020-05-29
2412,C27,21.54,2.17,43.1,4.17,2020-05-29
2413,C39,70.13,2.28,41.54,3.93,2020-05-29
2417,I65,116.23,7.52,61.63,4.92,2020-05-29
2418,C34,--,3.1,28.85,1.96,2020-05-29
2420,C29,11.33,3.06,29.08,2.63,2020-05-29
2421,I65,--,2.75,61.63,4.92,2020-05-29
2425,I64,30.8,1.29,34.64,4.24,2020-05-29
2427,C28,--,3.87,13.75,2.1,2020-05-29
2428,C32,--,4.84,32.73,1.88,2020-05-29
2429,C39,18.84,2.18,41.54,3.93,2020-05-29
2430,C35,19.64,1.96,38.13,3.78,2020-05-29
2431,E48,--,0.92,7.31,0.73,2020-05-29
2432,C35,28.02,2.38,38.13,3.78,2020-05-29
2433,C27,44.35,0.64,43.1,4.17,2020-05-29
2435,C27,--,0.88,43.1,4.17,2020-05-29
2436,C39,59.35,6.08,41.54,3.93,2020-05-29
2438,C34,22.71,1.84,28.85,1.96,2020-05-29
2441,F51,20.72,1.17,15.86,1.37,2020-05-29
2442,C26,105.21,1.6,23.35,2.06,2020-05-29
2443,C33,12.17,1.35,27.58,2.1,2020-05-29
2445,R86,--,19.12,46.73,2.1,2020-05-29
2446,C39,--,2.27,41.54,3.93,2020-05-29
2447,I64,--,3.3,34.64,4.24,2020-05-29
2448,C36,39.44,1.15,20.65,1.51,2020-05-29
2449,C39,20.09,1.86,41.54,3.93,2020-05-29
2450,--,--,--,--,--,2020-05-29
2451,C38,--,4.52,25.9,3.02,2020-05-29
2452,C38,19.8,2.55,25.9,3.02,2020-05-29
2453,I65,--,4.53,61.63,4.92,2020-05-29
2454,C36,34.6,0.86,20.65,1.51,2020-05-29
2455,C26,98.12,1.74,23.35,2.06,2020-05-29
2457,C30,19.42,1.21,15.28,2.23,2020-05-29
2458,A03,7.35,4.53,13.57,4.67,2020-05-29
2459,C38,13.97,2.29,25.9,3.02,2020-05-29
2461,C15,40.43,2.3,34.72,7.25,2020-05-29
2462,F51,12.11,1.14,15.86,1.37,2020-05-29
2464,I64,--,36.29,34.64,4.24,2020-05-29
2467,I64,51.67,4.26,34.64,4.24,2020-05-29
2469,M74,28.8,1.76,35.91,3.28,2020-05-29
2471,C38,--,2.03,25.9,3.02,2020-05-29
2472,C34,196.85,0.97,28.85,1.96,2020-05-29
2473,C38,--,7.89,25.9,3.02,2020-05-29
2474,I65,163.16,2.91,61.63,4.92,2020-05-29
2476,C26,37.48,4.27,23.35,2.06,2020-05-29
2478,C33,8.28,1.02,27.58,2.1,2020-05-29
2479,D44,18.56,1.4,17.02,1.24,2020-05-29
2480,C34,--,1.56,28.85,1.96,2020-05-29
2481,C14,75.68,5.87,45.97,6.56,2020-05-29
2483,C34,32.52,1.17,28.85,1.96,2020-05-29
2484,C39,29.96,2.08,41.54,3.93,2020-05-29
2485,C18,38.16,1.21,16.64,1.58,2020-05-29
2486,C18,--,3.35,16.64,1.58,2020-05-29
2487,C33,13.64,1.42,27.58,2.1,2020-05-29
2488,C36,--,1.31,20.65,1.51,2020-05-29
2489,C21,14.75,2.12,25.99,3.34,2020-05-29
2490,C35,--,1.58,38.13,3.78,2020-05-29
2492,G59,42.31,1.72,32.08,1.44,2020-05-29
2494,C19,257.81,0.94,35.5,1.42,2020-05-29
2495,C14,304.39,2.19,45.97,6.56,2020-05-29
2496,C26,--,1.33,23.35,2.06,2020-05-29
2497,C26,171.38,2.83,23.35,2.06,2020-05-29
2498,C38,36.64,3.4,25.9,3.02,2020-05-29
2499,D44,--,18.47,17.02,1.24,2020-05-29
2501,C32,--,--,32.73,1.88,2020-05-29
2502,R86,--,1.93,46.73,2.1,2020-05-29
2504,E50,--,4.2,21.62,1.65,2020-05-29
2506,C39,--,3.05,41.54,3.93,2020-05-29
2509,--,--,--,--,--,2020-05-29
2510,C36,--,1.46,20.65,1.51,2020-05-29
